"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"","511
002","","6","3.250",".","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","10","3.250",".","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513
001","","10","3.722","40.0","50.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Environmental Governance","534
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556
001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment-Environ Impact","575
001","","26","3.308","26.9","30.8","38.5",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","600
001","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","600
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
600","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","68","3.933","88.2","7.4","2.9",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Decisn Meth-Nat Resrc Mangr","652
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.833","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies - Environment & Health","713
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr II","718
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","740
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","900
003","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","26","3.741","65.4","15.4","15.4",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"CHE Methods Seminar","922
001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Conservation of Biodiversity","951
001","","21","3.950","85.7","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","978
001","","9","3.278","33.3","33.3","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","978
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
978","","12","3.400","25.0","16.7","41.7",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"","978
005","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
006","","11","3.550","27.3","54.5",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 167 of 435",""
