"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","5","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","11","4.000","90.9",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","9.1",".",".","."
"Undergraduates","20","4.000","95.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","5.0",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","29","3.904","96.6",".","3.4","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","10","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","72","3.441","37.5","25.0","36.1","",".","",".","",".","",".",".","",".",".","",".","",".","1.4",".",".","."
"Prof Yr 4","21","3.571","38.1","9.5","14.3","",".","",".","",".","",".","38.1","",".",".","",".","",".",".",".",".","."
"Professionals","107","3.475","45.8","18.7","27.1","",".","",".","",".","",".","7.5","",".",".","",".","",".","0.9",".",".","."
