"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","13","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","11","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","29","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","19","",".",".",".",".",".",".","",".","94.7","",".",".","",".","","5.3","",".",".",".","."
"Prof Yr 1","340","3.469","42.4","21.5","30.0","3.5","2.6",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","162","3.088","19.8","17.9","37.0","9.3","14.2","1.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","38","4.000","5.3",".",".",".",".",".","",".","94.7","",".",".","",".","",".","",".",".",".","."
"Professionals","541","3.348","32.9","18.9","29.9","5.0","5.9","0.6","",".","6.8","",".",".","",".","",".","",".",".",".","."
