"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","255","3.000","21.6","20.4","21.2","19.6","11.4","2.4","2.0",".",".",".",".",".","1.2","0.4",".","."
"","002
101","307","3.130","22.5","25.7","24.8","14.7","10.1","2.0","0.3",".",".",".",".",".",".",".",".","."
"","003
101","306","3.144","22.2","26.5","23.9","16.7","9.2","1.3","0.3",".",".",".",".",".",".",".",".","."
"","004
101","303","3.146","19.1","26.7","32.0","12.9","6.9","1.3","0.7",".",".",".",".",".",".","0.3",".","."
"Principles-Microeconomics","Course Total","1171","3.110","21.3","25.0","25.6","15.8","9.3","1.7","0.8",".",".",".",".",".","0.3","0.2",".","."
"","102
001","238","3.025","16.4","25.2","26.9","17.6","10.1","3.8",".",".",".",".",".",".",".",".",".","."
"","002
102","215","3.123","23.7","27.0","20.9","16.3","8.4","2.8","0.9",".",".",".",".",".",".",".",".","."
"","003
102","155","3.084","18.7","31.0","20.6","15.5","11.0","2.6","0.6",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","608","3.075","19.6","27.3","23.2","16.6","9.7","3.1","0.5",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","19","2.763","21.1","5.3","26.3","10.5","31.6","5.3",".",".",".",".",".",".",".",".",".","."
"","300
002","11","2.955","18.2","27.3","9.1","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","30","2.833","20.0","13.3","20.0","13.3","30.0","3.3",".",".",".",".",".",".",".",".",".","."
"","301
001","101","2.936","21.8","18.8","17.8","19.8","15.8","5.9",".",".",".",".",".",".",".",".",".","."
"","301
002","165","2.887","23.0","13.9","18.8","18.2","20.0","4.2","1.2",".",".",".",".",".",".",".","0.6","."
"Intmed Microeconomic Theory","Course Total","266","2.906","22.6","15.8","18.4","18.8","18.4","4.9","0.8",".",".",".",".",".",".",".","0.4","."
"","302
001","116","3.009","21.6","21.6","25.0","11.2","17.2","1.7","1.7",".",".",".",".",".",".",".",".","."
"","002
302","149","3.000","23.5","19.5","16.1","23.5","14.1","2.7","0.7",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","265","3.004","22.6","20.4","20.0","18.1","15.5","2.3","1.1",".",".",".",".",".",".",".",".","."
"","306
001","41","2.800","17.1","4.9","26.8","24.4","22.0","2.4",".",".",".",".",".",".","2.4",".",".","."
"","306
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","46","2.807","17.4","6.5","26.1","21.7","19.6","4.3",".",".",".",".",".",".","2.2",".",".","2.2"
"","310
001","116","3.074","19.0","20.7","28.4","18.1","12.9",".",".",".",".",".",".",".","0.9",".",".","."
"","002
310","70","3.064","22.9","18.6","27.1","14.3","15.7","1.4",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","186","3.070","20.4","19.9","28.0","16.7","14.0","0.5",".",".",".",".",".",".","0.5",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","18","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","10","3.450","50.0","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","111","2.804","18.9","22.5","7.2","18.9","18.9","9.0","0.9","1.8",".",".",".",".","0.9",".","0.9","."
"Environmental Economics","343
001","66","3.045","12.1","30.3","31.8","12.1","12.1",".","1.5",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
001","24","3.167","29.2","29.2","25.0","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","160","2.953","22.5","20.6","18.1","20.0","13.1","2.5","3.1",".",".",".",".",".",".",".",".","."
"","420
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","001
421","6","3.167","33.3","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomic Policy","442
001","42","3.405","38.1","16.7","33.3","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","117","3.076","13.7","28.2","30.8","16.2","9.4",".","0.9","0.9",".",".",".",".",".",".",".","."
"Economic Approach-Human Behav","451
001","31","3.258","25.8","22.6","35.5","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455
001","114","3.416","36.0","23.7","34.2","2.6","2.6","0.9",".",".",".",".",".",".",".",".",".","."
