"Current Topics-Sci & Tech St","902
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study-STS","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","",""
"STS
875","Dept. Total","","47","3.631","40.4","34.0","10.6","",".","2.1","",".","",".","2.1","",".","8.5","",".","",".","2.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","8","3.438",".","87.5","12.5","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","7","3.429","14.3","57.1","28.6","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","14","3.536","42.9","35.7","14.3","",".","7.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","29","3.483","24.1","55.2","17.2","",".","3.4","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","17","4.000","70.6",".",".","",".",".","",".","",".",".","",".","23.5","",".","",".","5.9",".",".","."
"","Dept. Total","","47","3.631","40.4","34.0","10.6","",".","2.1","",".","",".","2.1","",".","8.5","",".","",".","2.1",".",".","."
