"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","","2","***","","","","","","","","","","","","","","","",""
"376
Manga","001","","9","3.167","44.4","22.2","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"377
Bus Japanese Communication","001","","19","3.658","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"379
Business Chinese","001","","19","3.778","78.9","10.5",".",".",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"402
Eighth Semester Chinese","001","","15","3.857","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"404
Eighth Semester Japanese","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"406
Eighth Semester Korean","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"432
Intro to Chinese Ling","001","","21","3.762","66.7","28.6",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"466
Buddhist Thought","001","","17","3.409","11.8","29.4","23.5",".",".",".",".","23.5",".",".",".",".","11.8",".",".","."
"602
Japanese for Politics&Govrnmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"632
History of Chinese Language","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosem-Chinese Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"761
Chinese Historical Texts","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdys-Japanese Linguistics","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","23","",".",".",".",".",".",".",".","82.6",".",".",".","13.0","4.3",".",".","."
"999
Independent Research","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
