"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","27","3.703","74.1","7.4","7.4","7.4","3.7",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","33","3.145","45.5","12.1","18.2","6.1","9.1","9.1","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","59","3.303","40.7","27.1","6.8","6.8","11.9","3.4","",".",".","",".",".","",".",".","1.7",".","1.7","."
"Undergraduates","","121","3.339","49.6","18.2","10.7","6.6","9.1","4.1","",".",".","",".",".","",".",".","0.8",".","0.8","."
"Special","","6","3.500",".","16.7",".",".",".",".","",".","33.3","",".",".","",".",".",".","33.3","16.7","."
"Graduate","","61","3.580","19.7","11.5","11.5",".",".",".","",".","47.5","",".",".","",".","9.8",".",".",".","."
"","Dept. Total","188","3.387","38.3","16.0","10.6","4.3","5.9","2.7","",".","16.5","",".",".","",".","3.2","0.5","1.1","1.1","."
