"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","10","3.167","10.0","10.0","70.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"410
Radiobiology","001","","7","3.583","42.9","14.3","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Patient Safety&Error Reduction","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Phys and Bio Effects","001","","12","3.557","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"570
Adv Brachytherapy Physics","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"577
X-ray Computed Tomography","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"578
NonIonizing Diagnostic Imaging","001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Topics-Medical Physics","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Ethics in Medical Physics","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","11","",".",".",".",".",".",".",".","27.3",".",".",".","72.7",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
