"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Social Work and Delinquency","643
001","","26","3.937","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","27","3.796","92.6",".",".","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"","644
030","","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","Course Total","","61","3.885","91.8","4.9",".","1.6",".",".","1.6",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","91","3.165","29.7","23.1","28.6","5.5","6.6","4.4","2.2",".",".",".",".",".",".",".",".","."
"","656
001","","22","3.633","54.5","36.4","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","030
656","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","","28","3.681","60.7","32.1","3.6",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","661
001","","13","3.861","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","665
001","","19","3.820","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","","17","3.765","70.6","23.5",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","711
010","","24","3.604","58.3","20.8","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","020
711","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","Course Total","","36","3.722","69.4","16.7","5.6","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","742
001","","21","3.875","76.2","14.3","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","742
010","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
011","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
742","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","","68","3.910","82.4","14.7","1.5",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"","746
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Field Prac/Integrat Smr III","800
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
801","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","801
006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 322 of 435",""
