"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits I","340
001","94","3.165","17.0","35.1","25.5","12.8","7.4","2.1",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","84","3.095","34.5","7.1","32.1","4.8","19.0",".","2.4",".",".",".",".",".",".",".",".","."
"","352
001","83","3.205","24.1","32.5","20.5","13.3","7.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"","002
352","33","2.985","18.2","24.2","30.3","9.1","12.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","116","3.142","22.4","30.2","23.3","12.1","8.6","1.7","1.7",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","72","3.076","26.4","25.0","18.1","9.7","16.7","2.8","1.4",".",".",".",".",".",".",".",".","."
"","354
001","40","3.588","50.0","22.5","22.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","35","3.457","42.9","14.3","34.3","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","75","3.527","46.7","18.7","28.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","25","3.320","36.0","32.0","12.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","355
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","35","3.386","40.0","25.7","20.0","11.4",".",".","2.9",".",".",".",".",".",".",".",".","."
"","370
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","52","3.750","63.5","23.1","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","95","3.247","26.3","21.1","37.9","5.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","83","3.566","54.2","24.1","14.5","2.4","2.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","7","3.867","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","3.944","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Electroacoustical Engr","401
001","47","3.283","23.4","36.2","23.4","10.6","2.1",".","2.1","2.1",".",".",".",".",".",".",".","."
"","412
001","22","3.667","68.2",".","22.7",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","412
002","29","3.207","41.4",".","44.8",".","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"","003
412","14","3.500","57.1",".","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","004
412","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","76","3.480","57.9",".","32.9",".","6.6",".","1.3",".",".",".",".",".","1.3",".",".","."
"Photonics","434
001","13","3.538","61.5",".","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","435
001","10","2.500","10.0",".","50.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"","435
002","15","2.833","20.0","20.0","20.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","Course Total","25","2.700","16.0","12.0","32.0","8.0","16.0","16.0",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","001
445","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453
001","35","3.757","62.9","25.7","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
