"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"","103","001","254","3.078","16.5","27.2","23.2","22.0","9.1",".","0.8",".",".",".",".",".","1.2",".",".","."
"","103","002","181","3.196","25.4","22.7","28.7","13.3","9.4","0.6",".",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","435","3.127","20.2","25.3","25.5","18.4","9.2","0.2","0.5",".",".",".",".",".","0.7",".",".","."
"","104","001","332","3.079","22.9","22.0","20.2","18.4","16.0",".","0.3",".",".",".",".",".","0.3",".",".","."
"","104","002","293","3.124","24.9","21.2","24.2","14.3","13.7","0.7","0.3","0.3",".",".",".",".",".",".",".","0.3"
"General Physics","","Course Total","625","3.100","23.8","21.6","22.1","16.5","14.9","0.3","0.3","0.2",".",".",".",".","0.2",".",".","0.2"
"Ideas of Modern Physics","107","001","37","3.306","29.7","21.6","35.1","5.4","2.7","2.7",".","2.7",".",".",".",".",".",".",".","."
"","109","001","120","3.442","30.0","45.0","15.0","6.7","2.5",".","0.8",".",".",".",".",".",".",".",".","."
"","109","002","97","3.363","33.0","33.0","16.5","9.3","3.1","3.1",".","2.1",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","217","3.407","31.3","39.6","15.7","7.8","2.8","1.4","0.5","0.9",".",".",".",".",".",".",".","."
"Energy","115","001","123","3.341","37.4","26.8","15.4","8.9","10.6","0.8",".",".",".",".",".",".",".",".",".","."
"General Physics","201","001","320","2.886","19.1","16.9","20.3","20.3","18.1","5.3",".",".",".",".",".",".",".",".",".","."
"","202","001","146","2.808","13.0","13.7","25.3","27.4","15.8","4.8",".",".",".",".",".",".",".",".",".","."
"","202","002","326","2.849","16.0","16.0","24.5","17.2","21.8","4.3",".",".",".",".",".",".",".",".",".","0.3"
"General Physics","","Course Total","472","2.837","15.0","15.3","24.8","20.3","19.9","4.4",".",".",".",".",".",".",".",".",".","0.2"
"Mod Physics for Engineers","205","001","40","3.038","27.5","20.0","10.0","22.5","17.5","2.5",".",".",".",".",".",".",".",".",".","."
"","206","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","206","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Physics","","Course Total","4","***","","","","","","","","","","","","","","","",""
"General Physics","207","001","152","2.984","19.7","19.7","25.0","17.8","14.5","2.0","1.3",".",".",".",".",".",".",".",".","."
"General Physics","208","001","300","3.162","21.7","27.3","27.7","15.7","5.0","1.7","1.0",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","32","3.150","34.4","6.3","25.0","15.6","9.4","3.1",".",".",".",".",".",".",".",".","3.1","3.1"
"A Modern Intro to Physics","248","001","46","3.065","19.6","21.7","37.0","8.7","8.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265","001","14","3.208","35.7","21.4","14.3",".","7.1",".","7.1","14.3",".",".",".",".",".",".",".","."
"","299","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Physics Today","301","001","61","3.925","83.6","14.8",".",".",".",".",".",".",".",".",".",".",".","1.6",".","."
"","308","001","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","002","38","3.763","65.8","21.1","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","52","3.731","57.7","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","54","3.356","44.4","20.4","18.5","3.7","3.7","1.9","3.7",".",".",".",".",".",".",".","3.7","."
"Electromagnetic Fields","322","001","38","2.803","18.4","7.9","42.1",".","23.7","5.3","2.6",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325","001","16","3.156","25.0","18.8","37.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","23","3.367","21.7","47.8","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","27","2.423","11.1","11.1","25.9","18.5","7.4","11.1","11.1",".",".",".",".",".","3.7",".",".","."
"Atomic and Quantum Physics","449","001","37","3.419","45.9","24.3","16.2","5.4","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"","499","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 300 of 435",""
