"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","33","2.970","18.2","12.1","42.4","6.1","18.2","3.0",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Fungi","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","20","3.525","50.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","10","3.889","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.944","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Plant Pathology Tchg","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Teaching Biol: Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
