"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","85","4.000","1.2",".",".",".",".",".",".","96.5",".",".",".",".","2.4",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","75","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","85","3.365","24.7","29.4","42.4","1.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","75","3.360","25.3","30.7","38.7","1.3","4.0",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","75","3.467","34.7","24.0","41.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","667
001","20","4.000","55.0",".",".",".",".",".",".","45.0",".",".",".",".",".",".",".","."
"","667
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Neurology","Course Total","21","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","25","4.000","68.0",".",".",".",".",".",".","32.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","25","4.000","24.0",".",".",".",".",".",".","76.0",".",".",".",".",".",".",".","."
"","670
001","34","4.000","52.9",".",".",".",".",".",".","47.1",".",".",".",".",".",".",".","."
"","670
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","39","4.000","56.4",".",".",".",".",".",".","43.6",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","50","4.000","34.0",".",".",".",".",".",".","66.0",".",".",".",".",".",".",".","."
"","675
001","35","4.000","74.3",".",".",".",".",".",".","25.7",".",".",".",".",".",".",".","."
"","675
002","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
003","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","23","4.000","26.1",".",".",".",".",".",".","73.9",".",".",".",".",".",".",".","."
"","675
008","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
675","85","",".",".",".",".",".",".",".","71.8",".",".",".",".","28.2",".",".","."
"","675
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
675","29","4.000","10.3",".",".",".",".",".",".","89.7",".",".",".",".",".",".",".","."
"","675
015","81","",".",".",".",".",".",".",".","28.4",".",".",".",".","71.6",".",".","."
"","675
021","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","023
675","75","4.000","1.3",".",".",".",".",".",".","98.7",".",".",".",".",".",".",".","."
"Special Topics","Course Total","496","4.000","15.1",".",".",".",".",".",".","68.3",".",".",".",".","16.5",".",".","."
"","678
001","36","4.000","52.8",".",".",".",".",".",".","47.2",".",".",".",".",".",".",".","."
"","678
002","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","44","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","21","4.000","90.5",".",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 426 of 435",""
