"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
101","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","17","2.971","11.8","35.3","17.6","5.9","29.4",".",".",".",".",".",".",".",".",".",".","."
"","101
009","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
101","","12","2.583","25.0","8.3","8.3","8.3","41.7",".","8.3",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","57","3.316","45.6","21.1","10.5","3.5","17.5",".","1.8",".",".",".",".",".",".",".",".","."
"","102
003","","17","2.781","5.9","29.4","11.8","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9"
"","102
005","","20","3.075","15.0","25.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","007
102","","18","3.250","22.2","44.4","5.6","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","009
102","","23","3.283","26.1","21.7","39.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","","16","2.875","31.3","31.3",".","6.3","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","94","3.075","20.2","29.8","18.1","17.0","9.6","3.2","1.1",".",".",".",".",".",".",".",".","1.1"
"Ital-Speakrs of Romanc Lang","201
003","","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","13","3.192","38.5","15.4","7.7","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","003
203","","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","","8","3.188","50.0","12.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","","35","3.371","45.7","22.9","11.4","11.4","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"","204
001","","14","3.643","64.3","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","17","3.906","82.4","5.9","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","","31","3.783","74.2","9.7","9.7",".","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Writing Workshop","312
001","","18","3.611","50.0","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","","18","3.333","33.3","16.7","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Il Romanzo Italiano","636
001","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Il Rinascimento","651
001","","15","3.964","86.7","6.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Smr-Studies in Italian Lit","952
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
