"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","10","3.550","50.0","10.0","40.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","20","3.396","25.0","35.0","25.0","5.0","5.0",".","",".",".","",".",".","",".",".",".",".",".","5.0"
"Senior","37","3.505","37.8","35.1","13.5",".",".","5.4","",".","5.4","",".",".","",".",".","2.7",".",".","."
"Undergraduates","68","3.489","36.8","30.9","20.6","1.5","1.5","2.9","",".","2.9","",".",".","",".",".","1.5",".",".","1.5"
"Special","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","149","3.881","75.8","11.4","4.0",".",".",".","",".","6.7","",".",".","",".","1.3","0.7",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","5","***","","","","","","","","","","","",".","",".",".",".",".",".","."
