"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
003","16","3.281","37.5","18.8","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","004
344","17","3.088","23.5","17.6","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","005
344","16","3.094","25.0","12.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","006
344","18","3.194","33.3","5.6","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","007
344","17","3.176","23.5","17.6","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
008","17","3.176","23.5","11.8","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","009
344","18","3.111","22.2","11.1","38.9","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
010","17","3.147","23.5","11.8","47.1","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
011","17","3.265","29.4","23.5","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
012","17","3.235","29.4","17.6","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","013
344","18","3.167","16.7","22.2","50.0",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","344
014","18","3.167","33.3",".","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","015
344","16","3.125","25.0","12.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","016
344","18","3.222","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","017
344","15","3.167","20.0","26.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
018","15","3.100","20.0","13.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
019","16","3.188","31.3","12.5","37.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","020
344","18","3.000","16.7","11.1","50.0","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","344
021","16","3.125","31.3",".","43.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","022
344","15","3.133","26.7","13.3","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","023
344","17","3.147","29.4","5.9","41.2","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","3.206","41.2","5.9","23.5","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","344
025","16","3.219","31.3","12.5","37.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
026","17","3.265","35.3","11.8","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","027
344","18","2.917","16.7","16.7","44.4","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","344
028","16","3.156","31.3",".","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","029
344","18","3.167","22.2","16.7","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
030","18","3.167","33.3","5.6","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","503","3.152","27.4","12.3","36.0","15.3","7.6","1.0","0.4",".",".",".",".",".",".",".",".","."
"","345
001","228","2.773","20.2","14.0","19.3","15.4","22.4","5.3","3.1",".",".",".",".",".","0.4",".",".","."
"","002
345","276","2.895","23.9","8.3","22.8","22.1","18.8","3.3","0.7",".",".",".",".",".",".",".",".","."
"","003
345","217","2.829","22.6","9.2","26.3","11.5","22.6","3.7","2.8",".",".",".",".",".","0.5",".",".","0.9"
"","345
004","31","3.403","48.4","16.1","22.6","6.5","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","345
005","180","2.729","22.2","5.0","25.0","12.2","27.2","5.0","2.8",".",".",".",".",".","0.6",".",".","."
"Intmed Organic Chemistry","Course Total","932","2.835","23.2","9.5","23.2","15.6","21.7","4.1","2.3",".",".",".",".",".","0.3",".",".","0.2"
"Chemistry Demonstrations","350
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymeric Materials","421
001","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Industrial Chem and Business","505
001","9","2.889","11.1","11.1","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","509
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Inorganic Chemistry","511
001","20","2.725","25.0","20.0","15.0","15.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","40","3.263","32.5","20.0","30.0","7.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","38","2.763","26.3","13.2","21.1","7.9","15.8","10.5","5.3",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","132","3.117","20.5","22.0","40.9","6.1","6.8","1.5","2.3",".",".",".",".",".",".",".",".","."
"","563
001","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
