"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Special Topics-Compositn Thry","001","","14","3.958","78.6","7.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"709
Adv Eng Phonology","001","","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Adv Second Lang Acquisition","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"782
Graduate Poetry Workshop","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"785","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","114","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Topics in Early Modern Lit","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Topics in 18th-Century Lit","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"808
Topics in Modernism","001","","15","3.821","60.0","33.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"810
Topics in Early American Lit","001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"828
Topics in Material Culture","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879
Advanced Seminar in Lit","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Topics in Composition Study","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"905
Smr-Appld English Linguistc","001","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 226 of 435",""
