"","920
008","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","920
043","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","9","3.750","55.6","33.3","11.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","923
003","","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"RADIOL
832","Dept. Total","","99","3.518","39.4","23.2","33.3","1.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","9","3.818","88.9",".","11.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","29","3.444","27.6","27.6","37.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","6.9","."
"Prof Yr 4","","","60","3.516","36.7","25.0","35.0","1.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.7","."
"Professionals","","","98","3.513","38.8","23.5","33.7","1.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.1","."
"","Dept. Total","","99","3.518","39.4","23.2","33.3","1.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.0","."
