"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","10","",".",".",".",".",".",".",".","70.0","10.0",".",".","20.0",".",".",".","."
"999
Indep Reading & Research","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AFRICAN
104","Dept. Total","","384","3.643","59.9","19.5","8.1","2.9","2.6","1.3","1.0","2.9","0.3",".",".","0.5","1.0",".",".","."
