"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","33","3.617","42.4","30.3","15.2","3.0",".",".",".","6.1",".",".",".",".",".",".",".","3.0"
"306","001","","10","2.750","10.0","30.0","30.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"306","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","12","2.833","8.3","33.3","33.3",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"420","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"420","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","003","","18","3.529","33.3","33.3","27.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"590","004","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","005","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","74","3.799","75.7","13.5","9.5",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"601
Site Planning","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645
Modern American Communities","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"781
Planning Thought & Practice","001","","16","3.633","37.5","43.8","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"833
Planning & the Legal System","001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Func, Spatial Org&Envr Form","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
Policy-Making Process","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Theory&Practice-Ed Planning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890
Fed Budget&Tax Policy&Admin","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","12","3.913","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
