"","999
021","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
022","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
073","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","9","4.000","44.4",".",".",".",".","",".","",".","11.1",".",".","",".","11.1","33.3",".",".","."
"ED POL
310","Dept. Total","498","3.845","69.7","14.5","4.0","1.4","0.2","",".","",".","6.6","0.2",".","",".","0.8","2.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.767","53.3","46.7",".",".",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","55","3.815","65.5","29.1","3.6",".",".","",".","",".",".",".",".","",".",".","1.8",".",".","."
"Junior","","125","3.811","75.2","15.2","7.2","1.6","0.8","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","146","3.833","78.1","13.0","4.8","3.4",".","",".","",".",".",".",".","",".",".","0.7",".",".","."
"Undergraduates","","341","3.819","73.9","17.9","5.3","2.1","0.3","",".","",".",".",".",".","",".",".","0.6",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","153","3.931","60.1","6.5","1.3",".",".","",".","",".","21.6","0.7",".","",".","2.6","7.2",".",".","."
"","Dept. Total","498","3.845","69.7","14.5","4.0","1.4","0.2","",".","",".","6.6","0.2",".","",".","0.8","2.6",".",".","."
