"","990
092","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
095","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
096","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","52","",".",".",".",".",".",".",".","94.2","",".",".","",".","5.8","",".",".",".","."
"PHM SCI
718","Dept. Total","1139","3.415","41.6","18.5","19.0","6.7","4.5","0.4","0.1","4.6","",".","4.4","",".","0.3","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"","","","#Error","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","","","","","","","","","",""
"","","","","r
r","r
r","r","r
r","r
r","r","r
r","r","","r
r","","","","","","","","",""
"Freshmen","","19","3.158","42.1","15.8","5.3","15.8","15.8","5.3",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","67","3.481","53.7","14.9","17.9","6.0","6.0",".","1.5",".","",".",".","",".",".","",".",".",".","."
"Junior","","68","3.778","75.0","8.8","13.2","2.9",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","134","3.838","81.3","9.0","9.0","0.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","288","3.691","70.8","10.8","11.8","3.5","2.4","0.3","0.3",".","",".",".","",".",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","131","3.886","17.6","1.5","0.8",".",".",".",".","38.9","",".","38.2","",".","2.3","",".",".","0.8","."
"Prof Yr 1","","453","3.275","30.7","24.7","26.5","10.4","7.1","0.7",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","253","3.437","38.3","25.7","24.1","7.1","4.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","716","3.329","34.4","24.7","25.3","9.1","6.1","0.4",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1139","3.415","41.6","18.5","19.0","6.7","4.5","0.4","0.1","4.6","",".","4.4","",".","0.3","",".",".","0.1","."
