"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","155","3.203","23.2","24.5","32.3","9.0","8.4","1.3",".","0.6",".",".",".",".",".",".","0.6","."
"","306
002","50","3.390","32.0","32.0","22.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","205","3.249","25.4","26.3","29.8","9.3","7.3","1.0",".","0.5",".",".",".",".",".",".","0.5","."
"Real Estate Law","312
001","40","3.200","32.5","12.5","32.5","12.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"","365
001","14","3.429","42.9","21.4","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","41","3.746","53.7","34.1","7.3",".",".",".",".","4.9",".",".",".",".",".",".",".","."
"","365
003","20","3.526","35.0","35.0","20.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","365
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","76","3.609","46.1","31.6","11.8","5.3",".",".",".","2.6",".",".",".",".","1.3","1.3",".","."
"","410
001","33","3.409","42.4","21.2","15.2","18.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"","002
410","23","3.370","34.8","56.5",".",".",".",".","8.7",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","56","3.393","39.3","35.7","8.9","10.7","1.8",".","3.6",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","40","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","32","3.734","56.3","34.4","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","40","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","72","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","45","3.778","62.2","31.1","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","20","3.625","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
765","19","3.781","63.2","26.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","765
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
009","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","69","3.799","78.3","11.6","8.7",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
