"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","4799","3.168","31.2","17.6","19.2","8.0","8.5","2.8","1.9","5.9","0.0","3.9","0.5","0.2","0.2","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","190","2.849","23.7","11.1","25.8","13.2","14.2","2.6","3.7",".","0.5","4.7","0.5",".",".",".",".","."
"Sophomore","","647","2.952","24.6","15.9","26.9","10.5","13.4","3.1","3.1","0.3",".","1.5","0.3",".","0.3",".",".","."
"Junior","","969","3.088","29.1","15.4","23.8","10.8","9.7","3.2","1.9","0.2",".","4.9","0.8",".",".","0.1",".","0.1"
"Senior","","1653","3.031","25.0","18.6","21.5","9.7","11.4","4.5","2.1","1.0",".","4.8","0.7","0.2","0.5","0.1","0.1","."
"Undergraduates","","3459","3.023","26.0","16.8","23.4","10.3","11.4","3.8","2.3","0.6","0.0","4.2","0.7","0.1","0.3","0.1","0.0","0.0"
"Special","","238","3.471","47.5","21.4","14.3","4.2","2.9","0.8","2.5","1.3",".","3.4",".",".","0.4","0.4",".","."
"Graduate","","1108","3.686","44.1","19.1","7.0","1.5","0.5","0.2","0.4","23.4","0.1","2.8","0.2","0.6",".",".",".","."
"","Dept. Total","4805","3.168","31.2","17.5","19.2","8.0","8.5","2.8","1.9","5.9","0.0","3.9","0.5","0.2","0.2","0.1","0.0","0.0"
