"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","240","2.900","15.8","17.9","27.9","15.4","19.2","3.3","0.4",".",".",".",".",".",".",".",".","."
"","002
300","259","2.900","22.0","14.7","22.4","10.8","26.3","3.9",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","499","2.900","19.0","16.2","25.1","13.0","22.8","3.6","0.2",".",".",".",".",".",".",".",".","."
"","305
001","34","3.074","17.6","20.6","35.3","11.8","14.7",".",".",".",".",".",".",".",".",".",".","."
"","305
002","45","3.200","22.2","15.6","51.1","2.2","8.9",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","79","3.146","20.3","17.7","44.3","6.3","11.4",".",".",".",".",".",".",".",".",".",".","."
"","320
001","45","3.511","46.7","24.4","15.6","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","320
002","44","3.307","38.6","15.9","15.9","27.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","320
003","53","3.368","30.2","35.8","18.9","11.3","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","004
320","45","3.189","26.7","24.4","28.9","13.3","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","187","3.345","35.3","25.7","19.8","15.5","2.1","1.1","0.5",".",".",".",".",".",".",".",".","."
"","001
325","38","3.342","34.2","26.3","23.7","10.5","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","002
325","35","3.329","28.6","25.7","31.4","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","325
003","27","3.074","25.9","22.2","29.6","14.8",".",".","7.4",".",".",".",".",".",".",".",".","."
"","325
004","54","3.296","25.9","24.1","37.0","9.3","3.7",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","154","3.276","28.6","24.7","31.2","11.0","2.6","0.6","1.3",".",".",".",".",".",".",".",".","."
"","330
001","49","3.214","30.6","16.3","26.5","18.4","8.2",".",".",".",".",".",".",".",".",".",".","."
"","330
002","51","3.147","21.6","25.5","25.5","19.6","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"","003
330","52","3.375","32.7","26.9","25.0","13.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","152","3.247","28.3","23.0","25.7","17.1","5.3","0.7",".",".",".",".",".",".",".",".",".","."
"Fixed Income Securities","340
001","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","39","3.826","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","83","3.277","21.7","28.9","36.1","9.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","410
002","17","3.441","47.1","23.5","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Bank Management","Course Total","100","3.305","26.0","28.0","33.0","9.0","3.0","1.0",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","34","3.353","26.5","23.5","44.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","19","3.588","36.8","31.6","21.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","635
002","26","3.540","30.8","42.3","23.1",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Security Analysis","Course Total","45","3.560","33.3","37.8","22.2",".",".",".",".","4.4",".",".",".",".","2.2",".",".","."
"Intro to Financial Mgmnt","700
031","37","3.716","62.2","18.9","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","16","3.667","43.8","43.8",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro to Applied Portfolio Mgt","736
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
031","43","3.779","55.8","44.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Restrctrng&Reorgnztn","755
001","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","757
001","25","3.646","36.0","56.0",".","4.0",".",".",".",".",".",".",".",".",".",".","4.0","."
