"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","38","3.531","36.8","39.5","18.4",".","5.3",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","185","3.462","40.0","28.1","22.7","5.4","2.7","1.1",".",".","",".",".","",".",".",".",".",".","."
"Senior","","344","3.472","42.7","25.3","19.5","6.4","4.1","0.6","0.3",".","",".",".","",".",".","1.2",".",".","."
"Undergraduates","","568","3.474","41.5","27.1","20.4","5.6","3.7","0.7","0.2",".","",".",".","",".",".","0.7",".",".","."
"Special","","14","3.179","57.1","7.1","21.4",".",".",".","14.3",".","",".",".","",".",".",".",".",".","."
"Graduate","","190","3.654","27.4","8.4","8.9","0.5",".",".",".","34.2","",".","6.3","",".","11.6","1.1",".","0.5","."
"","Dept. Total","772","3.488","38.3","22.2","17.6","4.3","2.7","0.5","0.4","8.4","",".","1.6","",".","2.8","0.8",".","0.1","."
