"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","358","3.541","38.5","35.5","20.9","2.5","0.6","0.6",".","0.8",".",".",".",".","0.3","0.3",".","."
"Mass Communication Practices","202
001","","120","3.479","22.5","50.8","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
335","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","39","3.667","51.3","30.8","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","","41","3.756","65.9","22.0","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
345","","39","3.692","51.3","38.5","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","80","3.725","58.8","30.0","8.8","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics","411
001","","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","","18","3.882","77.8","11.1","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Develop Creatv Messages-Media","Course Total","","35","3.941","88.6","5.7","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","475
012","","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
475","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
475","","23","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","024
475","","15","3.333","46.7","13.3","33.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","475
025","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","87","3.707","59.8","28.7","10.3",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Communication&Society","561
001","","63","3.556","39.7","36.5","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","97","3.693","50.5","36.1","12.4",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"Career Colloquium","601
001","","65","",".",".",".",".",".",".",".",".",".","96.9","3.1",".",".",".",".","."
"Communicatn&Public Opinion","614
001","","76","3.747","59.2","30.3","7.9","1.3",".",".",".","1.3",".",".",".",".",".",".",".","."
"International Communication","620
001","","25","3.600","36.0","48.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","","51","3.843","74.5","19.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
001","","22","3.682","54.5","36.4","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","676
022","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts and Tools for Data An","677
001","","20","3.895","75.0","20.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Senior Honors Thesis","681
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","697
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 259 of 435",""
