"FINANCE, INVESTMENT & BANKI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"","757","030","","55","3.518","21.8","60.0","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","","Course Total","","80","3.557","26.3","58.8","12.5","1.3",".",".",".",".",".",".",".",".",".",".","1.3","."
"Contemporary Topics","765","031","","37","3.689","56.8","24.3","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","","Course Total","","2","***","","","","","","","","","","","","","","","",""
