"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","95","2.978","27.4","8.4","28.4","14.7","13.7","3.2","2.1","1.1",".",".",".",".","1.1",".",".","."
"","100","002","88","3.047","27.3","17.0","18.2","12.5","21.6",".","1.1",".",".",".",".",".","1.1",".","1.1","."
"General Anthropology","","Course Total","183","3.011","27.3","12.6","23.5","13.7","17.5","1.6","1.6","0.5",".",".",".",".","1.1",".","0.5","."
"Archaeology & Prehist World","102","001","104","2.698","12.5","15.4","16.3","18.3","30.8","1.9","1.9","1.0",".",".",".",".",".","1.9",".","."
"","104","001","413","3.526","42.6","35.1","13.1","4.4","2.2","0.5","1.0","0.7",".",".",".",".","0.2","0.2",".","."
"","104","002","418","3.511","45.9","30.4","13.2","5.7","2.9","1.4","0.5",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","831","3.518","44.3","32.7","13.1","5.1","2.5","1.0","0.7","0.4",".",".",".",".","0.1","0.1",".","."
"Principles - Biological Anthro","105","001","298","3.617","61.4","19.1","11.1","3.0","2.0","0.7","1.7","1.0",".",".",".",".",".",".",".","."
"Principles of Archaeology","212","001","41","3.103","31.7","14.6","22.0","9.8","9.8","7.3",".","4.9",".",".",".",".",".",".",".","."
"Caribbean Music and Culture","237","001","24","3.587","29.2","54.2","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Latin America-Introduction","260","001","14","3.615","64.3",".","21.4",".","7.1",".",".",".",".",".",".",".",".","7.1",".","."
"Africa: Introductory Survey","277","001","22","3.500","13.6","72.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","7","3.357","28.6","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","23","2.905","21.7",".","39.1",".","30.4",".",".","8.7",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","11","2.545","36.4",".","9.1",".","36.4","9.1","9.1",".",".",".",".",".",".",".",".","."
"","310","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310","002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","27","3.481","40.7","25.9","14.8","14.8",".",".",".","3.7",".",".",".",".",".",".",".","."
"","330","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330","002","14","3.800","50.0","35.7",".",".",".",".",".",".",".",".",".",".","7.1","7.1",".","."
"","330","004","6","3.125","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","","Course Total","28","3.707","67.9","21.4",".",".",".",".","3.6",".",".",".",".",".","3.6","3.6",".","."
"Anthropology of Religion","343","001","13","3.119","30.8","23.1","23.1","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Course in Archaeology","370","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","15","3.500","53.3","6.7","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","40","3.150","37.5","17.5","25.0","7.5","2.5","5.0","5.0",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","21","3.619","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of Law","448","001","23","3.286","34.8","13.0","34.8","4.3",".",".","4.3","4.3",".",".",".",".","4.3",".",".","."
"","490","001","12","3.375","50.0","8.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","490","002","12","3.292","41.7","25.0","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","490","003","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","31","3.452","54.8","12.9","19.4","6.5","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","690","001","9","3.155","22.2","33.3","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","078","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 176 of 435",""
