"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","119","2.686","22.7","8.4","27.7","5.0","19.3","11.8","4.2",".",".",".",".",".","0.8",".",".","."
"","002
101","141","2.709","23.4","14.2","19.1","6.4","19.1","12.1","4.3",".",".",".",".",".",".","0.7",".","0.7"
"Animal Biology","Course Total","260","2.698","23.1","11.5","23.1","5.8","19.2","11.9","4.2",".",".",".",".",".","0.4","0.4",".","0.4"
"","102
001","15","3.367","26.7","33.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","16","3.313","31.3","6.3","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","9","3.167","11.1","44.4","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","007
102","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","11","3.227","36.4","18.2","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
010","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
102","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
102","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","10","3.050","30.0",".","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
016","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","017
102","13","3.154","7.7","38.5","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","16","3.344","31.3","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","185","3.408","35.1","27.0","27.0","7.0","3.2","0.5",".",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","151
001","89","2.730","12.4","13.5","36.0","4.5","23.6","10.1",".",".",".",".",".",".",".",".",".","."
"","152
001","51","3.157","29.4","11.8","43.1","3.9","7.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"","152
002","64","2.937","15.6","12.5","43.8","6.3","15.6","4.7",".",".",".",".",".",".",".",".","1.6","."
"","152
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
152","22","3.545","45.5","22.7","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","152
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","158","3.185","29.1","14.6","39.2","4.4","8.9","2.5","0.6",".",".",".",".",".",".",".","0.6","."
"Introductory Biology","153
001","48","2.750","20.8","8.3","31.3","8.3","16.7","14.6",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","47","3.181","29.8","10.6","40.4","4.3","14.9",".",".",".",".",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 342 of 435",""
