"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"231
Survey-Nuclear Engineering","001","","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","36","2.931","36.1","2.8","38.9",".","5.6","11.1","5.6",".",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","42","3.095","26.2","23.8","26.2","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"412
Nuclear Reactor Design","001","","26","3.484","46.2","19.2","19.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","20","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"428","001","","12","3.500","41.7","16.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"428","002","","8","3.188","25.0",".","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory","Course Total","","20","3.375","35.0","10.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","30","3.621","26.7","66.7","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"525
Introduction to Plasmas","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","25","3.160","24.0","20.0","36.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"569
Health Phys and Bio Effects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","23","3.413","13.0","56.5","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Meth-Risk Anal Nuc Pwr Plnt","001","","16","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"602","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"602","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Reactor Engr","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","18","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"890","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"890","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 153 of 435",""
