"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","141","3.318","25.5","34.8","26.2","4.3","7.8","0.7",".",".",".",".",".",".",".","0.7",".","."
"","100","002","143","3.011","25.2","7.7","35.0","9.8","16.8","2.1","0.7","2.8",".",".",".",".",".",".",".","."
"General Geology","","Course Total","284","3.165","25.4","21.1","30.6","7.0","12.3","1.4","0.4","1.4",".",".",".",".",".","0.4",".","."
"Survey of Oceanography","105","001","37","3.617","43.2","18.9","13.5","5.4",".",".",".",".",".",".",".",".",".",".","18.9","."
"Environmental Geology","106","001","84","2.994","9.5","34.5","25.0","14.3","9.5",".","3.6","3.6",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","153","3.126","21.6","19.6","28.1","20.9","8.5",".",".","0.7",".",".",".",".","0.7",".",".","."
"Sci Behind News-Wrld Around Us","115","001","138","2.932","18.8","15.2","26.1","15.2","15.9","3.6","0.7","2.9","0.7",".",".",".",".","0.7",".","."
"Monitoring Earth by Satellite","118","001","41","3.100","19.5","22.0","34.1","7.3","12.2","2.4",".",".",".",".",".",".","2.4",".",".","."
"Life in the Universe","160","001","43","2.988","25.6","23.3","11.6","20.9","14.0",".","4.7",".",".",".",".",".",".",".",".","."
"","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Geologic Evolution of Earth","204","001","84","3.113","16.7","16.7","47.6","10.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","214","3.156","28.5","23.8","19.6","13.6","7.9","5.1",".","0.5",".",".",".",".",".",".","0.5","0.5"
"Intro Geophysics:Dynmic  Earth","350","001","26","3.577","53.8","11.5","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","57","3.079","17.5","24.6","29.8","12.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","376","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","8","3.300","12.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","37.5","."
"Sedimentology and Stratigraphy","430","001","37","3.095","27.0","18.9","24.3","16.2","10.8",".","2.7",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","46","2.922","13.0","10.9","52.2","8.7","8.7",".","4.3",".",".",".",".",".","2.2",".",".","."
"Conducted Field Trip","457","001","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Econ Geology","515","001","18","3.083","27.8","27.8","16.7","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"Paleobiology","541","001","16","3.625","81.3","6.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","7","2.643","28.6",".","28.6","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Hydrogeology","727","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Oceanography","750","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"","875","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","005","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","875","006","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","875","009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 236 of 435",""
