"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
001","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
110","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
021","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
022","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
024","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
025","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","135","3.930","88.9","8.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
008","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
115","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
026","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","035
115","11","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","27.3","."
"","115
036","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
037","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
038","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
042","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
043","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
115","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","045
115","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","046
115","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","115
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","048
115","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","051
115","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","115
052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","197","3.812","83.8","6.6","4.6",".","1.5","0.5","1.5",".",".",".",".",".",".",".","1.5","."
"","125
001","12","3.708","83.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","125
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","28","3.875","92.9","3.6",".",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","44","3.884","79.5","13.6","4.5",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","325
001","25","3.620","52.0","36.0","4.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"","325
002","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Stdts Seekng Educ Equ&Div","Course Total","41","3.707","63.4","26.8","2.4","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
