"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","8","3.947","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","16","3.973","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","10","3.909","70.0","10.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Graduate","","101","3.810","25.7",".","4.0",".",".",".",".","61.4",".",".",".","3.0",".",".","5.9","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".",".",".",".",".",".","."
