"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"College Geometry I","461","001","","37","3.270","45.9","13.5","21.6","2.7","10.8","2.7","2.7",".",".",".",".",".",".",".",".","."
"Mathematics for Teachers","471","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473","001","","34","3.059","32.4",".","32.4","23.5","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","33","3.333","36.4","12.1","36.4","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491","001","","11","3.227","54.5","9.1","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","14","2.462","7.1","21.4","7.1","21.4","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","20","2.900","30.0","20.0","15.0","10.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","521","001","","27","2.827","37.0","7.4","11.1","18.5","3.7","11.1","7.4",".",".",".",".",".",".",".","3.7","."
"","521","002","","29","3.036","24.1","24.1","13.8","10.3","20.7","3.4",".",".",".",".",".",".","3.4",".",".","."
"","521","003","","25","3.020","32.0","8.0","24.0","12.0","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"Analysis I","","Course Total","","81","2.962","30.9","13.6","16.0","13.6","14.8","6.2","2.5",".",".",".",".",".","1.2",".","1.2","."
"Analysis II","522","001","","23","2.977","26.1","4.3","26.1","26.1","8.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","30","2.500","13.3","13.3","10.0","20.0","26.7","16.7",".",".",".",".",".",".",".",".",".","."
"Probability Theory","531","001","","28","2.786","35.7","14.3","10.7","7.1","14.3","7.1","10.7",".",".",".",".",".",".",".",".","."
"","541","001","","21","3.190","42.9","14.3","19.0","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"","541","002","","22","2.909","22.7","13.6","31.8","4.5","22.7",".","4.5",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","43","3.047","32.6","14.0","25.6","4.7","16.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","30","3.224","43.3","6.7","20.0","3.3","23.3",".",".","3.3",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","23","3.614","60.9","13.0","13.0",".","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"Elem Geom & Alg Topology","552","001","","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology","609","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Fourier Analysis","627","001","","11","3.227","36.4","9.1","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","27","3.400","51.9","7.4","3.7","22.2","7.4",".",".","7.4",".",".",".",".",".",".",".","."
"","632","003","","24","2.826","20.8","4.2","37.5","12.5","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"","632","004","","34","3.103","17.6","20.6","32.4","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","632","005","","22","3.048","27.3","4.5","36.4","4.5","22.7",".",".","4.5",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","80","3.006","21.3","11.3","35.0","15.0","12.5","1.3","1.3","2.5",".",".",".",".",".",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","15","3.167","33.3","20.0","26.7",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","692","160","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","15","3.852","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","20","3.175","35.0","25.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","35","3.814","68.6","25.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","14","3.571","64.3",".","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 278 of 435",""
