"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","14","3.536","42.9","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
004","21","3.350","23.8","52.4","9.5","4.8",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"","006
101","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","11","3.400","36.4","27.3","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","101
012","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","82","3.519","36.6","42.7","12.2","2.4","2.4",".","1.2","2.4",".",".",".",".",".",".",".","."
"","102
002","22","3.432","27.3","36.4","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","24","3.604","50.0","29.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","005
102","18","3.206","33.3","16.7","16.7","22.2",".","5.6",".",".",".",".",".",".",".",".",".","5.6"
"","102
007","16","3.600","43.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","008
102","15","3.433","53.3","20.0","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","102
009","19","3.395","36.8","26.3","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","114","3.451","40.4","27.2","18.4","8.8","1.8","1.8",".",".",".",".",".",".","0.9",".",".","0.9"
"","203
002","18","3.611","55.6","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
003","11","3.136","18.2","18.2","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.471","58.8",".","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","007
203","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","55","3.482","49.1","16.4","21.8","7.3","5.5",".",".",".",".",".",".",".",".",".",".","."
"","204
002","18","3.500","33.3","33.3","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".","."
"","004
204","23","2.977","8.7","26.1","34.8","13.0","8.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"","006
204","14","2.571",".",".","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".","."
"","204
007","18","3.361","33.3","27.8","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","204
009","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","80","3.141","18.8","25.0","30.0","15.0","7.5","1.3",".","1.3","1.3",".",".",".",".",".",".","."
"","228
001","13","3.398","53.8","7.7","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","002
228","22","3.311","27.3","22.7","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
228","19","3.516","26.3","47.4","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","22","3.688","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","76","3.484","36.8","32.9","23.7","5.3",".","1.3",".",".",".",".",".",".",".",".",".","."
"","271
001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","15","3.583","60.0","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","13.3"
"","003
271","14","3.663","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","13","3.738","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","54","3.680","59.3","20.4","14.8",".",".","1.9",".",".",".",".",".",".",".",".",".","3.7"
"Practical French Converstn","302
001","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
002","25","3.640","60.0","32.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","24","3.688","62.5","20.8","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","28","3.625","67.9","10.7","17.9",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","322
001","31","3.717","48.4","41.9","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Visual Cultr-Fr/Francophone St","325
001","18","3.361","50.0","38.9",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347
001","21","3.650","57.1","14.3","19.0","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","19","3.618","42.1","31.6","10.5","5.3",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Francophone Modernity Studies","449
001","11","3.778","54.5","18.2","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 230 of 435",""
