"CHICANA/O & LATINA/O STUDIE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","",""
"201
Intro to Chicana/o&Latina/o St","001","","35","3.800","74.3","11.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"231
Politcs:Multi-Cultural Soc","001","","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"347
Race, Ethnicity, and Media","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"462
American West Since 1850","001","","26","3.380","34.6","42.3","3.8","7.7",".","7.7",".","3.8",".",".",".",".",".",".",".","."
"530","002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530","003","","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","Course Total","","31","3.823","64.5","35.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
