"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","14","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","308","3.518","15.3","8.1","11.7","0.3","0.6","",".","",".","55.5","",".",".","",".","",".","8.4",".",".","."
"Prof Yr 2","131","4.000","32.1",".",".",".",".","",".","",".","23.7","",".",".","",".","",".","44.3",".",".","."
"Prof Yr 3","393","3.454","30.8","10.4","15.3","0.3","0.8","",".","",".","42.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","425","4.000","41.4",".",".",".",".","",".","",".","58.6","",".",".","",".","",".",".",".",".","."
"Professionals","1257","3.645","30.7","5.3","7.6","0.2","0.4","",".","",".","49.2","",".",".","",".","",".","6.7",".",".","."
