"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"","990
075","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","71","",".",".",".",".",".",".",".","85.9","",".",".","",".","14.1",".",".",".","."
"PSYCH
820","Dept. Total","4646","3.255","39.4","16.8","21.7","8.4","7.7","2.4","1.1","1.8","",".",".","",".","0.3","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","411","2.985","23.4","21.2","22.9","12.9","13.9","3.6","1.9",".","",".",".","",".",".",".","0.2",".","."
"Sophomore","","1297","3.168","32.2","18.9","25.0","10.7","9.2","3.1","0.9","0.1","",".",".","",".",".",".",".",".","."
"Junior","","1208","3.221","39.0","16.2","24.0","7.1","9.2","2.6","1.5","0.1","",".",".","",".",".","0.2","0.1",".","."
"Senior","","1443","3.402","48.0","16.7","19.8","7.3","4.6","1.6","0.8","0.6","",".",".","",".","0.2","0.3","0.1",".","."
"Undergraduates","","4359","3.245","38.4","17.6","22.8","8.8","8.1","2.5","1.1","0.3","",".",".","",".","0.1","0.2","0.1",".","."
"Special","","54","2.915","24.1","7.4","20.4","5.6","13.0","5.6",".","16.7","",".",".","",".",".",".","1.9","5.6","."
"Graduate","","227","3.807","59.9","3.5","2.2","0.9",".",".","1.3","27.8","",".",".","",".","4.4",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","6","3.786","66.7","16.7",".",".",".",".",".","16.7","",".",".","",".",".",".",".",".","."
"","Dept. Total","4646","3.255","39.4","16.8","21.7","8.4","7.7","2.4","1.1","1.8","",".",".","",".","0.3","0.2","0.1","0.1","."
