"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","109","3.262","26.6","25.7","32.1","5.5","6.4","0.9","0.9","0.9",".",".",".",".","0.9",".",".","."
"Law, Politics and Society","217","001","35","3.191","31.4","17.1","28.6","8.6","8.6",".","2.9",".","2.9",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","39","3.038","7.7","28.2","35.9","20.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"","400","018","46","3.185","15.2","19.6","52.2","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","400","021","39","3.128","12.8","30.8","33.3","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","85","3.159","14.1","24.7","43.5","14.1","3.5",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Field Education","405","001","67","3.716","56.7","32.8","7.5","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights in Law & Society","409","001","30","3.283","16.7","40.0","30.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415","001","20","3.425","50.0","20.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Women and the Law","422","001","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","15","3.033","13.3","20.0","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444","001","61","3.795","80.3","11.5","3.3",".","3.3","1.6",".",".",".",".",".",".",".",".",".","."
"","450","017","17","3.367","52.9","11.8","5.9","5.9","5.9",".","5.9","5.9",".",".",".",".","5.9",".",".","."
"","450","022","21","3.225","4.8","47.6","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".","4.8","."
"","450","025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","","Course Total","42","3.256","26.2","28.6","21.4","9.5","4.8",".","2.4","2.4",".",".",".",".","2.4",".","2.4","."
"Legal Pluralism","510","001","19","3.105",".","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","10","2.850","50.0",".","10.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","694","001","28","3.607","57.1","25.0","7.1","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","699","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","3.763","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
