"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Art Foundry","414
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Digital Imaging Studio","428
001","11","2.955","27.3","18.2","18.2","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Design Context","438
001","10","3.200","40.0","10.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","448
001","14","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","448
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
008","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
448","6","3.321","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".","33.3",".",".","."
"","448
010","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
011","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","125","3.905","92.0","3.2","0.8",".","2.4",".",".",".",".",".",".",".","1.6",".",".","."
"Intmed Paint: New Figuration I","452
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454
001","14","3.643","64.3",".","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Packaging Design","465
001","11","3.200","27.3",".","45.5","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"Papermaking;Hist,Elem&Techs","466
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
001","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","31","3.866","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","135","3.912","83.0","3.0","6.7",".",".",".",".","5.9",".",".",".",".","1.5",".",".","."
"Advanced Drawing I","512
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","518
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio II","529
001","9","3.500","55.6","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Screen Performance","531
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","8","3.143","12.5","12.5","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","544
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","544
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","Course Total","4","***","","","","","","","","","","","","","","","",""
