"GEOLOGICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","",""
"Intro to Geological Engr","171
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291
001","23","2.870","8.7","17.4","34.8","17.4","21.7",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330
002","17","3.147","29.4","5.9","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350
001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370
001","19","2.789","5.3","10.5","36.8","31.6","15.8",".",".",".",".",".",".",".",".",".",".","."
"Topics-Geological Engr","401
001","35","3.353","17.1","37.1","40.0","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Structural Geology","455
001","17","3.000","23.5","5.9","35.3","17.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474
002","34","2.985","8.8","20.6","47.1","11.8","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Geological Engr Design","479
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629
001","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Physicochem Basis-Soil Behv","733
001","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","790
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
075","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"Pre-Dissertator's Research","890
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","900
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"G L E
418","Dept. Total","259","3.299","40.9","15.1","24.7","8.5","5.8","0.4",".","4.2",".",".",".","0.4",".",".",".","."
