"ZOOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"","299","081","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","","Course Total","18","3.969","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302","001","25","2.600","16.0","24.0","20.0","8.0","12.0","8.0","12.0",".",".",".",".",".",".",".",".","."
"Parasitology","350","001","64","2.445","15.6","1.6","29.7","6.3","29.7","12.5","4.7",".",".",".",".",".",".",".",".","."
"","400","001","23","3.130","34.8","4.3","39.1","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","400","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","","Course Total","27","3.259","44.4","3.7","33.3","3.7","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","47","3.202","21.3","29.8","29.8","14.9","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Behavioral Ecology","425","001","188","2.588","15.4","10.6","29.8","8.5","18.1","11.7","5.3","0.5",".",".",".",".",".",".",".","."
"General Ecology","460","001","26","3.135","26.9","19.2","38.5",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","17","2.735","17.6","5.9","35.3",".","35.3","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470","001","98","2.918","27.6","17.3","20.4","3.1","23.5","5.1","3.1",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","10","2.800","50.0",".","10.0",".","20.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"Modeling Animal Landscapes","504","001","20","3.933","85.0",".","5.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Ecology of Fishes","510","001","57","3.289","35.1","17.5","35.1","1.8","7.0","3.5",".",".",".",".",".",".",".",".",".","."
"","511","001","18","3.167","5.6","50.0","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","511","002","15","3.267","13.3","40.0","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","33","3.212","9.1","45.5","27.3","15.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520","001","58","2.723","17.2","13.8","24.1","15.5","12.1","10.3","3.4","3.4",".",".",".",".",".",".",".","."
"","521","001","14","3.714","71.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","11","3.500","45.5","18.2","18.2",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","521","003","11","3.364","18.2","63.6",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","521","004","10","2.850","40.0",".","10.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","","Course Total","46","3.389","45.7","21.7","10.9","6.5","10.9","2.2",".","2.2",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524","001","20","3.150","35.0","10.0","20.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Tropical Herpetology","525","001","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"Genes and Disorders Lab","604","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurobiology and Behavior Lab","616","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Ecology","672","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","692","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","021","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 343 of 435",""
