"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","41","3.963","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","25","3.880","88.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","66","3.932","92.4","3.0","3.0","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","51","3.951","92.2","5.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","93","3.962","93.5","5.4","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","49","3.255","24.5","36.7","20.4","10.2","6.1",".","2.0",".",".",".",".",".",".",".",".","."
"","303
002","","41","3.122","26.8","24.4","14.6","19.5","12.2","2.4",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","90","3.194","25.6","31.1","17.8","14.4","8.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Actuarial Mathematics I","650
001","","23","2.761","30.4",".","17.4","21.7","21.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","651
001","","38","3.342","28.9","26.3","34.2","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
651","","30","3.117","23.3","20.0","30.0","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","68","3.243","26.5","23.5","32.4","10.3","5.9","1.5",".",".",".",".",".",".",".",".",".","."
"Loss Models I","652
001","","24","3.239","20.8","29.2","25.0","16.7","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"Loss Models II","653
001","","51","3.284","15.7","37.3","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","31","3.145","25.8","19.4","22.6","22.6","9.7",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","450","3.305","48.7","18.4","16.9","9.6","4.9","0.7","0.4",".",".",".",".",".","0.2",".","0.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","122","3.449","63.9","17.2","7.4","6.6","4.9",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","135","3.282","62.2","11.1","10.4","8.9","5.2","0.7","1.5",".",".",".",".",".",".",".",".","."
"Senior","","","163","3.251","28.2","27.0","25.2","12.3","5.5","1.2",".",".",".",".",".",".",".",".","0.6","."
"Undergraduates","","","422","3.308","49.5","19.2","15.2","9.5","5.2","0.7","0.5",".",".",".",".",".",".",".","0.2","."
"Special","","","27","3.228","33.3","7.4","44.4","11.1",".",".",".",".",".",".",".",".","3.7",".",".","."
"Graduate","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","450","3.305","48.7","18.4","16.9","9.6","4.9","0.7","0.4",".",".",".",".",".","0.2",".","0.2","."
