"TERM : 1164","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2015-2016","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL GENETICS","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Human Cytogenetics","562
001
3","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Advanced Topics in Genetics","677
021
2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Methods&Logic-Genetic Analysis","708
001
3","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"MD GENET
616","8
Dept. Total","3.972","87.5","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Undergraduates","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Graduate","6","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"","Dept. Total
8","3.972","87.5","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 367 of 435"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","",""
