"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","99","3.429","49.5","12.1","25.3","5.1","7.1",".","1.0",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","63","2.984","19.0","27.0","27.0","11.1","7.9","3.2","4.8",".",".",".",".",".",".",".",".","."
"General Botany","130","001","109","2.995","29.4","5.5","33.0","8.3","20.2","2.8","0.9",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133","001","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","6","2.667",".",".","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","152","001","6","2.833","16.7","33.3","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","152","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","9","3.111","33.3","22.2","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","76","3.140","18.4","19.7","40.8","10.5","9.2",".",".",".",".",".",".",".","1.3",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Fungi","332","001","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Cell Cult. & Genet. Eng.","340","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","43","3.302","34.9","23.3","23.3","9.3","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","8","2.786","25.0","12.5",".","25.0","12.5","12.5",".",".",".",".",".",".",".","12.5",".","."
"General Ecology","460","001","69","3.159","26.1","11.6","37.7","17.4","7.2",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","23","2.826","30.4",".","30.4","8.7","21.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","500","001","11","3.000","18.2",".","45.5",".","18.2",".",".","18.2",".",".",".",".",".",".",".","."
"","500","002","31","3.145","29.0","19.4","32.3","3.2","9.7","6.5",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","","Course Total","42","3.119","26.2","14.3","35.7","2.4","11.9","4.8",".","4.8",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phylogenetic Anal-Molec Data","563","001","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","575","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","003","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","575","004","14","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","35","3.731","71.4","5.7","17.1",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","22","3.915","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiological Plant Ecology","802","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Plant Physiol","858","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
