"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","13","2.808","23.1",".","30.8","7.7","38.5",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","85","3.518","49.4","9.4","37.6","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","75","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Active, Integrated Learning II","001","","81","4.000","90.1",".",".",".",".",".",".","9.9",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","81","3.691","60.5","21.0","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","81","3.475","43.2","24.7","21.0","6.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","29","4.000","93.1",".",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"675
Special Topics","001","","166","",".",".",".",".",".",".",".","73.5",".",".",".",".","26.5",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","32","4.000","34.4",".",".",".",".",".",".","65.6",".",".",".",".",".",".",".","."
"775","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799
Pract-Veterinary Sci Tchg","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","6","4.000","33.3",".",".",".",".",".",".",".",".",".",".","50.0",".",".","16.7","."
"930
Advanced Seminar","011","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 428 of 435",""
