"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","31","2.661","12.9","19.4","32.3","9.7","9.7","6.5","9.7",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","121","3.508","40.5","34.7","15.7","7.4","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","215","3.756","74.9","15.3","5.6","0.9","1.4","0.5","1.4",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","34","3.424","47.1","26.5","2.9","14.7",".","5.9",".","2.9",".",".",".",".",".",".",".","."
"","240
001","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","58","3.905","84.5","12.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","39","3.718","64.1","30.8","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Chinese Migrations since 1500","276
001","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","521","3.633","60.3","22.6","9.4","3.6","1.3","1.0","1.5","0.2",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","3.610","67.7","20.0","1.5","3.1","3.1",".","4.6",".",".",".",".",".",".",".",".","."
"Sophomore","","197","3.721","67.0","20.8","5.6","3.6","1.5","1.0","0.5",".",".",".",".",".",".",".",".","."
"Junior","","123","3.555","52.8","26.8","15.4","0.8",".","1.6","2.4",".",".",".",".",".",".",".",".","."
"Senior","","136","3.585","53.7","22.8","13.2","6.6","1.5","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"Undergraduates","","521","3.633","60.3","22.6","9.4","3.6","1.3","1.0","1.5","0.2",".",".",".",".",".",".",".","."
"","Dept. Total","521","3.633","60.3","22.6","9.4","3.6","1.3","1.0","1.5","0.2",".",".",".",".",".",".",".","."
