"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"130
Community Newswriting","001","","43","3.917","83.7","11.6","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"299
Independent Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"345
Strategic Plan-Nonprofit Orgs","001","","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Community Iss & Serv Learng","002","","27","3.615","37.0","51.9","3.7",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"375","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","19","3.342","63.2","5.3",".","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","27","3.486","74.1","3.7",".","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"427
Meths-Teachng Fam & Consumr Ed","001","","49","3.719","69.4","14.3","12.2",".",".",".","2.0",".",".",".",".",".","2.0",".",".","."
"460
Leadership&Mgt-Nonprofit Orgs","001","","28","3.607","39.3","50.0","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"501","003","","13","3.792","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"501","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","28","3.866","82.1","10.7","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"560
Community Leadership","001","","44","3.818","77.3","18.2","2.3",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"570
Community Based Resrch & Eval","001","","33","3.219","33.3","33.3","9.1","9.1","6.1",".","6.1",".",".",".",".",".","3.0",".",".","."
"601
Internship","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
