"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","19","3.553","42.1","26.3","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","53","3.717","66.0","15.1","17.0",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","102
001","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","21","3.800","71.4","9.5","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","004
102","","23","3.196","34.8","17.4","30.4","4.3","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"","006
102","","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","89","3.608","59.6","14.6","19.1","2.2","1.1","2.2",".","1.1",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
003","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
203","","21","3.571","57.1","19.0","14.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","39","3.615","56.4","20.5","17.9",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","","14","3.071","42.9","14.3","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","005
204","","9","3.500","66.7",".","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","41","3.476","58.5","14.6","17.1","2.4","2.4",".","4.9",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","249
002","","16","3.594","62.5","18.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","249
003","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
004","","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","50","3.710","62.0","28.0","6.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","258
001","","17","3.559","47.1","35.3","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","002
258","","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
003","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","44","3.659","54.5","29.5","11.4","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
262","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","27","3.926","92.6","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
267","","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Song and Jewish Exp","Course Total","","38","3.929","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language & Immigration in Wisc","270
001","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Immigration Experience","271
001","","22","3.528","27.3","36.4","13.6","4.5",".",".",".","18.2",".",".",".",".",".",".",".","."
"Nazi Culture","272
002","","76","3.438","46.1","13.2","27.6","2.6","3.9","2.6",".","2.6",".",".",".",".",".","1.3",".","."
"Spec Tops in Ger & World Lit/s","276
001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279
001","","23","3.457","43.5","30.4","21.7",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Directed Study","299
028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
