"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","9","1.611","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","602
001","6","1.667","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","715
001","54","1.389","16.7",".","22.2",".","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"","715
002","75","1.313","9.3",".","28.0","1.3","1.3","4.0",".",".",".",".",".",".",".",".",".","."
"","003
715","64","1.109","12.5",".","17.2",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","193","1.267","12.4",".","22.8","0.5","2.6","2.1","0.5",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","34","1.510","11.8",".","26.5",".","2.9",".",".",".",".",".",".",".","11.8",".",".","."
"","723
001","18","0.667",".",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","18","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","19","1.105",".",".","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","18","1.333",".",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","20","0.650","5.0",".","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","20","1.050",".",".","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","19","1.263",".",".","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","18","2.278","11.1",".","61.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
723","18","0.722",".",".","22.2",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","010
723","17","1.059",".",".","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","185","1.108","1.6",".","34.6",".",".","0.5",".",".",".",".",".",".",".",".",".","."
"","724
001","65","1.462","16.9",".","23.1",".","4.6",".",".",".",".",".",".",".",".",".",".","."
"","002
724","68","1.368","14.7",".","22.1",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","133","1.414","15.8",".","22.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","46","1.822","10.9",".","43.5",".","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"","731
001","59","1.271","8.5",".","28.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","731
002","66","1.487","19.7",".","16.7",".","7.6","3.0",".","1.5",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","125","1.385","14.4",".","22.4",".","5.6","1.6",".","0.8",".",".",".",".",".",".",".","."
"Payments Systems","735
001","13","2.333","30.8",".","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","18","1.588","33.3",".","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","740
001","9","1.111","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","32","1.469","6.3",".","34.4",".","9.4",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","41","1.390","7.3",".","31.7",".","7.3",".",".",".",".",".",".",".",".",".",".","."
"Taxation I","742
001","28","1.667","21.4",".","25.0",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","743
001","12","1.417","16.7",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
002","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","Course Total","27","1.417","7.4",".","11.1",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"Administrative Law","744
001","91","1.511","12.1",".","29.7",".","4.4",".","1.1","3.3",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","771
001","58","1.073","10.3",".","10.3",".","1.7",".",".","29.3",".",".",".",".",".",".",".","."
"","771
002","7","1.571","14.3",".","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","003
771","6","1.500","16.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","71","1.137","11.3",".","11.3",".","5.6",".",".","23.9",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772
001","8","1.429","12.5",".","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Evidence","801
001","43","1.268","14.0",".","18.6",".","4.7",".",".","4.7",".",".",".",".",".",".",".","."
