"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","92","2.923","21.7","17.4","21.7","17.4","14.1","4.3","2.2",".","1.1",".",".",".",".",".",".","."
"","210
001","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","22","3.886","90.9","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","210
003","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
210","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
210","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","171","3.921","86.0","13.5",".",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","001
219","110","3.835","83.6","8.2","2.7","2.7","0.9",".","0.9",".",".",".",".",".",".",".",".","0.9"
"Electrodynamics I","220
001","87","2.925","19.5","12.6","43.7","2.3","13.8","5.7","2.3",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","126","2.863","20.6","23.0","14.3","16.7","14.3","5.6","4.0","0.8","0.8",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","75","2.967","24.0","13.3","17.3","28.0","14.7","2.7",".",".",".",".",".",".",".",".",".","."
"","252
001","20","3.600","60.0","5.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
252","113","3.053","27.4","26.5","9.7","15.9","15.9","1.8","2.7",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","133","3.135","32.3","23.3","12.8","14.3","13.5","1.5","2.3",".",".",".",".",".",".",".",".","."
"","270
001","56","3.295","35.7","25.0","16.1","8.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"","002
270","49","3.224","40.8","16.3","14.3","8.2","18.4","2.0",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","105","3.262","38.1","21.0","15.2","8.6","16.2","1.0",".",".",".",".",".",".",".",".",".","."
"","271
001","28","3.196","42.9","10.7","21.4","7.1","10.7","7.1",".",".",".",".",".",".",".",".",".","."
"","271
002","20","3.400","50.0","15.0","10.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","48","3.281","45.8","12.5","16.7","10.4","10.4","4.2",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","303
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","23","3.500","43.5","26.1","17.4",".","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","305
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","12","3.542","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","313
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
313","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","50","3.970","94.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
317","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
317","12","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","27","3.833","85.2","3.7","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","001
330","73","3.597","54.8","21.9","13.7","2.7","5.5",".",".","1.4",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","12","2.750","25.0","25.0",".","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","24","3.250","37.5","12.5","29.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 126 of 435",""
