"ANATOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","",""
"Systems Neuroscience","611
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
003","44","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"","675
021","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","89","4.000","98.9",".",".",".",".",".",".",".",".",".",".",".",".",".","1.1","."
"Integrated Medical Anatomy","711
001","177","",".",".",".",".",".",".",".","96.6","2.3",".",".",".",".",".",".","1.1"
"Developmental Neuroscience","765
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
