"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","259","2.990","27.0","17.0","14.7","18.9","12.7","5.4","1.2","0.4",".",".",".",".",".","0.4","2.3","."
"Weather and Climate","101","001","88","3.253","37.5","20.5","13.6","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".","1.1"
"Survey of Oceanography","105","001","41","3.768","63.4","26.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","26","3.615","38.5","53.8","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","17","3.118","23.5","11.8","35.3","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","18","3.382","27.8","33.3","16.7","16.7",".",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bioclimatology","520","001","20","3.675","50.0","45.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Tropical Meteorology","522","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","16","3.438","31.3","31.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Rotating Fluid Dynamics","615","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","16","3.438","18.8","50.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Problems in Oceanography","750","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","9","",".",".",".",".",".",".",".","44.4",".",".",".","44.4",".","11.1",".","."
"","990","016","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","11","",".",".",".",".",".",".",".","45.5",".",".",".","54.5",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 282 of 435",""
