"EGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Society's Egr Challenges","102
001","47","3.617","55.3","21.3","17.0","4.3","2.1","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"","160
001","161","3.851","79.5","13.0","6.2","0.6","0.6","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","160
002","198","3.684","58.1","27.3","9.6","3.5","1.5","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Intro to Engineering Design","Course Total","359","3.759","67.7","20.9","8.1","2.2","1.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Current Issues in Intl Engr","413
002","12","3.917","83.3","16.7",".",".",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Topics-Interdis Engineering","601
002","12","3.750","66.7","16.7","16.7",".",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"INTEREGR
496","Dept. Total","430","3.749","66.7","20.7","9.1","2.3","1.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","3.645","65.2","15.2","9.8","7.6","2.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","391","3.751","74.2","15.9","7.2","0.8","0.8","",".","",".","",".","",".",".","",".","",".","",".","1.3",".","."
"Junior","","178","3.875","90.4","6.2","1.1",".",".","",".","",".","",".","",".",".","",".","",".","",".","2.2",".","."
"Senior","","31","3.950","90.3","6.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".","3.2",".","."
"Undergraduates","","692","3.749","77.9","12.9","5.6","1.4","0.7","",".","",".","",".","",".",".","",".","",".","",".","1.4",".","."
"","Dept. Total","692","3.749","77.9","12.9","5.6","1.4","0.7","",".","",".","",".","",".",".","",".","",".","",".","1.4",".","."
