"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","186","3.800","80.6","7.5","8.6",".","1.6",".","1.1",".",".",".",".",".",".",".",".","0.5"
"Tpcs in Info St-Tech Aspects","341
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","","27","3.537","44.4","33.3","11.1","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Research","399
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Online Searching for Info Pro","451
001","","30","3.966","90.0","6.7",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","551
001","","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","31","3.897","83.9","6.5",".",".","3.2",".",".",".",".",".",".",".","6.5",".",".","."
"Organization of Information","Course Total","","59","3.912","84.7","10.2",".",".","1.7",".",".",".",".",".",".",".","3.4",".",".","."
"","569
001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","569
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","569
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-American Librarianship","Course Total","","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","616
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","616
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Records Management","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Young Adult Literature","Course Total","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
639","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","Course Total","","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","32","3.938","90.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","642
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","651
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
