"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","","78","3.141","15.4","25.6","30.8","12.8","5.1",".","1.3","9.0",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","","69","3.632","55.1","24.6","14.5","1.4","1.4","1.4",".","1.4",".",".",".",".",".",".",".","."
"Intro to US History","109","001","","70","3.140","7.1","35.7","34.3","17.1","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","","82","2.992","7.3","14.6","30.5","15.9","4.9","1.2",".","24.4",".",".",".",".","1.2",".",".","."
"Europe&Mod World 1815-On","120","001","","65","3.445","32.3","24.6","18.5","4.6","4.6",".",".","15.4",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","","65","3.483","13.8","61.5","13.8","1.5",".",".",".","9.2",".",".",".",".",".",".",".","."
"Intro to World History","130","001","","69","3.455","39.1","26.1","21.7","5.8","1.4",".","1.4",".",".",".",".",".",".",".","4.3","."
"AsianAm His:Settlmnt&Belonging","161","001","","68","3.860","79.4","16.2","1.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","200","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Historical Studies","","Course Total","","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","201","001","","31","3.435","32.3","41.9","16.1",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"","201","002","","27","3.192","48.1","7.4","14.8","14.8","3.7",".","7.4",".",".",".",".",".","3.7",".",".","."
"","201","003","","44","3.466","43.2","15.9","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201","005","","41","3.634","46.3","36.6","14.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","201","007","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","008","","23","3.609","47.8","26.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","009","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","","Course Total","","195","3.519","46.7","27.2","17.9","4.6","2.1",".","1.0",".",".",".",".",".","0.5",".",".","."
"West Intell & Rel Hist to 1500","208","001","","31","3.532","45.2","29.0","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Jews and American Pop. Culture","213","001","","34","3.571","32.4","32.4","14.7","2.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","223","001","","30","3.466","43.3","26.7","16.7","3.3","3.3","3.3",".","3.3",".",".",".",".",".",".",".","."
"","223","002","","24","3.375","29.2","29.2","33.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","","54","3.431","37.0","27.8","24.1","3.7","3.7","1.9",".","1.9",".",".",".",".",".",".",".","."
"Exploration-European Hist (S)","224","001","","41","3.577","46.3","31.7","12.2",".","2.4","2.4",".","4.9",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","","22","3.368","22.7","40.9","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","13.6","."
"SE Asian Refugees of Cold War","246","001","","38","3.647","50.0","31.6","5.3",".",".",".","2.6","7.9",".",".",".",".","2.6",".",".","."
"Sport, Rec., & Society in U.S.","249","001","","69","3.181","20.3","31.9","24.6","15.9","5.8",".","1.4",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","","20","3.475","60.0","15.0","5.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","15","3.731","66.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","13.3","."
"American Legal History to Pres","262","001","","37","3.100","13.5","18.9","24.3","18.9","5.4",".",".",".",".",".",".",".",".",".","18.9","."
"Cen Asia: Silk Route-Afghan","265","001","","22","3.667","45.5","36.4","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Hist Stdy Abrd: European Hist","271","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Migrations since 1500","276","001","","17","3.375","41.2","11.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"Africa: Introductory Survey","277","001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africans in Americas 1492-1808","278","001","","54","3.423","25.9","48.1","14.8","3.7","1.9",".","1.9","3.7",".",".",".",".",".",".",".","."
"","283","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","283","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Hon Smr-Study Hist(H)","","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Rome","307","001","","50","3.340","46.0","28.0","12.0","4.0","2.0","2.0","6.0",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 245 of 435",""
