"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"Intro to Engineering Research","468
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Proposal-Engr Physics","469
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","471
002","","15","3.467","33.3","40.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
471","","12","3.542","66.7","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","","27","3.500","48.1","33.3","11.1",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cryogenics","566
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in EP","Course Total","","26","3.769","65.4","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"EP Graduate Seminar","920
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"E P
347","Dept. Total","","74","3.591","50.0","27.0","8.1","1.4","1.4",".","1.4",".",".","10.8",".",".",".",".",".","."
