"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"Chall & Solu in Bus Sustain","710
001","25","3.580","36.0","44.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","45","3.625","42.2","37.8","17.8",".",".",".",".",".",".",".",".",".",".",".","2.2","."
"Entrepreneurial Management","722
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","49","3.480","28.6","40.8","28.6","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","47","3.574","38.3","38.3","23.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","25","3.520","32.0","40.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","121","3.525","33.1","39.7","26.4","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","31","3.500","29.0","48.4","12.9","3.2","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","14","3.583","50.0","14.3","7.1","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","741
001","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","765
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","030
765","46","3.826","67.4","30.4","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","43","3.744","48.8","51.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","133","3.816","66.2","30.8","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","774
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
074","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Emerging Entrepreneurship","977
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
148","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
