"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
BME Fundamentals & Design","001","","110","3.682","54.5","30.0","12.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","71","3.711","49.3","43.7","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","80","3.644","51.3","35.0","6.3","6.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","21","3.143","19.0","28.6","28.6","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","12","2.708","8.3","8.3","25.0","33.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"389","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","099","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","119","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","126","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","128","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","129","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","95","3.992","95.8","2.1",".",".",".",".",".",".",".",".",".",".","1.1",".","1.1","."
"402
Biomedical Engineering Design","001","","95","3.702","50.5","40.0","6.3","2.1",".",".",".",".",".",".",".",".","1.1",".",".","."
