"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
104","","15","3.300","20.0","40.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","104
003","","10","2.750","10.0","20.0","40.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","32","3.234","25.0","34.4","25.0","6.3","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Intro to Latin Literature","204
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","392
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","392
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin:Grad Readng Knwldg II","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Latin Poetry","519
001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Oratory","950
001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"LATIN
524","Dept. Total","","65","3.473","41.5","33.8","13.8","3.1","3.1",".","1.5","1.5",".",".",".",".","1.5",".",".","."
