"Developmental Neuroscience","765
001","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
055","2","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
057","2","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","275","4.000","33.8","",".","",".","",".","",".","",".","",".","63.6","1.5",".","",".","",".","",".",".","0.4","0.7"
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","40","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","45","4.000","100.0","",".","",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","11","4.000","63.6","",".","",".","",".","",".","",".","",".","36.4",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","212","4.000","18.4","",".","",".","",".","",".","",".","",".","78.3","1.9",".","",".","",".","",".",".","0.5","0.9"
"Prof Yr 2","","6","4.000","16.7","",".","",".","",".","",".","",".","",".","83.3",".",".","",".","",".","",".",".",".","."
"Professionals","","218","4.000","18.3","",".","",".","",".","",".","",".","",".","78.4","1.8",".","",".","",".","",".",".","0.5","0.9"
"","Dept. Total","275","4.000","33.8","",".","",".","",".","",".","",".","",".","63.6","1.5",".","",".","",".","",".",".","0.4","0.7"
