"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"126
001
Principles-Envrnmtl Science","18","3.444","44.4","11.1","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"157
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"157
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"157
007","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"157
009","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","50","",".",".",".",".",".",".",".",".",".","98.0","2.0",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","77","3.890","88.3","9.1","1.3",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","53","3.462","43.4","22.6","20.8","9.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","81","3.646","58.0","25.9","8.6","1.2","1.2","1.2","1.2","2.5",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","54","3.557","31.5","50.0","13.0","3.7",".",".",".","1.9",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"253
001
Literature and Society","25","3.000","8.0","28.0","28.0","12.0","16.0",".",".",".",".",".",".",".",".","4.0","4.0","."
"275
001
Special Topics in ILS","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"372
001
Interdis Studies-Soc Sciences","13","3.773","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"400
001
Capstone Integration Seminar","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"ILS
Dept. Total
500","424","3.638","50.9","19.6","10.6","2.6","1.9","0.2","0.5","0.7",".","11.6","0.2",".","0.7","0.2","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","40","3.460","27.5","17.5","10.0","5.0",".","2.5",".",".",".","35.0","2.5",".",".",".",".","."
"Sophomore","142","3.713","49.3","21.1","6.3","0.7","2.1",".",".",".",".","19.7",".",".","0.7",".",".","."
"Junior","130","3.647","57.7","20.0","13.1","2.3","1.5",".","0.8",".",".","4.6",".",".",".",".",".","."
"Senior","107","3.599","56.1","18.7","12.1","4.7","2.8",".","0.9",".",".","0.9",".",".","1.9","0.9","0.9","."
"Undergraduates","419","3.641","51.6","19.8","10.3","2.6","1.9","0.2","0.5",".",".","11.7","0.2",".","0.7","0.2","0.2","."
"Special","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dept. Total","424","3.638","50.9","19.6","10.6","2.6","1.9","0.2","0.5","0.7",".","11.6","0.2",".","0.7","0.2","0.2","."
