"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","254","3.152","12.2","39.0","28.7","14.2","3.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"","300
002","240","3.217","8.8","45.4","30.4","12.9","2.1",".","0.4",".",".",".",".",".",".",".",".","."
"","003
300","107","3.140","11.2","43.0","31.8","5.6","2.8","3.7","1.9",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","601","3.176","10.6","42.3","30.0","12.1","2.8","1.2","1.0",".",".",".",".",".",".",".",".","."
"","305
001","50","3.360","30.0","30.0","26.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","002
305","49","3.796","61.2","36.7","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","42","3.310","21.4","35.7","28.6","11.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","004
305","41","3.634","51.2","31.7","12.2","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","182","3.527","41.2","33.5","17.0","6.0","2.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","21","3.525","33.3","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","310
002","41","3.549","34.1","43.9","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","003
310","41","3.476","26.8","41.5","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","103","3.515","31.1","40.8","26.2","1.0",".",".",".",".",".",".",".",".",".",".","1.0","."
"","365
001","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","41","3.744","58.5","31.7","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","49","3.521","26.5","46.9","22.4",".",".",".",".","4.1",".",".",".",".",".",".",".","."
"","004
365","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","31","3.548","41.9","32.3","19.4","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","161","3.603","42.9","37.3","16.8","1.9",".",".",".","1.2",".",".",".",".",".",".",".","."
"","399
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","3","***","","","","","","","","","","","","","","","",""
"","001
415","45","3.522","31.1","44.4","22.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","48","3.448","25.0","47.9","25.0",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","93","3.484","28.0","46.2","23.7","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","27","3.519","25.9","55.6","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
002","41","3.500","34.1","34.1","29.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","16","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
425","38","3.342","15.8","44.7","34.2","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","425
003","14","3.286","7.1","42.9","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","68","3.294","16.2","39.7","35.3","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","52","3.385","25.0","34.6","32.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","41","3.476","34.1","34.1","26.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","460
002","41","3.402","24.4","41.5","24.4","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","39","3.397","20.5","43.6","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","121","3.426","26.4","39.7","27.3","5.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","640
001","17","3.118","17.6","35.3","17.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","30","3.717","53.3","36.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","29","3.696","58.6","17.2","20.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","737
001","38","3.803","60.5","39.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 65 of 435"
